Indicator,S.No.,Parameters,Type,_Tamil Nadu,Ariyalur,Chennai,Coimbatore,Cuddalore,Dharmapuri,Dindigul,Erode,Kancheepuram,Kanniyakumari,Karur,Krishnagiri,Madurai,Nagapattinam,Namakkal,Nilgiris,Perambalur,Pudukkottai,Ramanathapuram,Salem,Sivaganga,Thanjavur,Theni,Thiruvallur,Thiruvarur,Tiruchirappalli,Tirunelveli,Tirupur,Tiruvanamalai,Toothukudi,Vellore,Viluppuram,Virudhunagar
M17 [Vaccines],17.8,Vaccine - JE,3. Unusable Stock,110478,5992,0.0,0,16295.0,,0,,0.0,0,,0.0,0.0,0.0,,0,7021.0,14085,,,0.0,0,0,24410.0,0,,0,0.0,32232.0,,0,0,10443
M17 [Vaccines],17.8,Vaccine - JE,4. Stock Distributed,682956,11712,0.0,0,47503.0,,0,,0.0,0,28640.0,0.0,80180.0,0.0,,0,12639.0,36019,,,0.0,81140,0,53493.0,43250,75550.0,0,0.0,52552.0,,0,115220,45058
M17 [Vaccines],17.8,Vaccine - JE,5. Total Stock,1582723,58769,0.0,0,125664.0,0.0,0,0.0,0.0,0,11565.0,0.0,29310.0,0.0,0.0,0,37085.0,388786,0.0,0.0,0.0,38945,0,214191.0,23910,41650.0,0,0.0,320754.0,0.0,0,74560,217534
M17 [Vaccines],17.9,Vaccine - Hepatitis B,1. Balance From Previous Month,1775693,22677,47540.0,269880,60064.0,30000.0,26957,53540.0,40730.0,55460,33080.0,25460.0,12080.0,48452.0,30370.0,35200,24578.0,74447,34730.0,101370.0,18670.0,20350,43101,52348.0,14120,33120.0,43600,118989.0,122178.0,74500.0,90380,55990,61732
M17 [Vaccines],17.9,Vaccine - Hepatitis B,2. Stocks Received,598222,5500,41920.0,17210,17440.0,19700.0,10926,20700.0,25700.0,19650,8000.0,18100.0,50300.0,11500.0,9050.0,8040,5400.0,14050,12600.0,28500.0,11440.0,25100,11700,11600.0,9100,18500.0,23600,22286.0,25870.0,16190.0,35700,29650,13200
M17 [Vaccines],17.9,Vaccine - Hepatitis B,3. Unusable Stock,30535,1531,0.0,200,3138.0,,1385,,0.0,3577,,0.0,0.0,3358.0,,1316,1023.0,2955,0.0,,80.0,0,205,2116.0,0,,0,2707.0,5371.0,,0,0,1573
M17 [Vaccines],17.9,Vaccine - Hepatitis B,4. Stock Distributed,554473,4067,43480.0,16290,9756.0,19330.0,8975,22690.0,31680.0,9162,6890.0,17890.0,53950.0,10572.0,12750.0,899,4479.0,8602,13090.0,22600.0,13940.0,22330,11342,12762.0,9470,18790.0,24230,11865.0,18997.0,18130.0,36080,27350,12035
M17 [Vaccines],17.9,Vaccine - Hepatitis B,5. Total Stock,1743259,1712,45980.0,244200,64610.0,30370.0,27523,51550.0,34750.0,62371,34190.0,25670.0,8430.0,46022.0,26670.0,41025,24476.0,76940,34240.0,107270.0,16090.0,23067,43459,49070.0,13750,32830.0,42970,128170.0,123680.0,72560.0,90000,58290,61324
M17 [Vaccines],17.1,Vaccine - Typhoid,1. Balance From Previous Month,7075,0,0.0,0,0.0,,0,,0.0,0,,0.0,7075.0,0.0,,0,0.0,0,,,0.0,0,0,,0,,0,0.0,,,0,0,0
M17 [Vaccines],17.1,Vaccine - Typhoid,2. Stocks Received,47500,0,0.0,0,0.0,,0,,0.0,0,,0.0,47500.0,0.0,,0,0.0,0,,,0.0,0,0,,0,,0,0.0,,,0,0,0
M17 [Vaccines],17.1,Vaccine - Typhoid,3. Unusable Stock,0,0,0.0,0,0.0,,0,,0.0,0,,0.0,0.0,0.0,,0,0.0,0,,,0.0,0,0,,0,,0,0.0,,,0,0,0
M17 [Vaccines],17.1,Vaccine - Typhoid,4. Stock Distributed,44825,0,0.0,0,0.0,,0,,0.0,0,,0.0,44825.0,0.0,,0,0.0,0,,,0.0,0,0,,0,,0,0.0,,,0,0,0
M17 [Vaccines],17.1,Vaccine - Typhoid,5. Total Stock,9750,0,0.0,0,0.0,,0,,0.0,0,,0.0,9750.0,0.0,,0,0.0,0,,,0.0,0,0,,0,,0,0.0,,,0,0,0
M17 [Vaccines],17.11,Vaccine - Vitamin K,1. Balance From Previous Month,1203010,5946,0.0,0,410.0,6580.0,284754,45300.0,0.0,47811,,0.0,21870.0,0.0,0.0,0,4701.0,221963,31522.0,0.0,0.0,75827,87821,,2680,2338.0,114491,19902.0,11042.0,,42863,0,175189
M17 [Vaccines],17.11,Vaccine - Vitamin K,2. Stocks Received,527085,5210,9548.0,0,3050.0,20500.0,236600,29500.0,0.0,8100,,13874.0,69800.0,0.0,5600.0,0,2071.0,7120,6000.0,26399.0,0.0,14500,28000,,600,1600.0,18000,2720.0,9236.0,,6557,0,2500
M17 [Vaccines],17.11,Vaccine - Vitamin K,3. Unusable Stock,26184,76,0.0,0,242.0,,19710,,0.0,4983,,0.0,0.0,0.0,,0,0.0,35,0.0,0.0,0.0,0,0,,0,,0,36.0,340.0,,0,0,762
M17 [Vaccines],17.11,Vaccine - Vitamin K,4. Stock Distributed,438086,6188,9546.0,0,2766.0,16000.0,167355,26630.0,0.0,6401,,10130.0,65470.0,0.0,5600.0,0,2378.0,5401,6304.0,26399.0,0.0,19541,12241,,520,1300.0,19203,2420.0,8697.0,,5893,0,11703
M17 [Vaccines],17.11,Vaccine - Vitamin K,5. Total Stock,1379997,4894,2.0,0,452.0,9780.0,334289,48770.0,0.0,44527,,3744.0,26200.0,0.0,0.0,0,4394.0,416439,31218.0,0.0,0.0,70486,26036,,2760,2550.0,113288,20166.0,11241.0,,43537,0,165224
M17 [Vaccines],17.12,Rotavirus,1. Balance From Previous Month,1829103,47030,197080.0,0,84921.0,12140.0,47430,2505.0,23540.0,99428,26230.0,22940.0,126050.0,73640.0,37180.0,8330,30990.0,58464,38300.0,52720.0,37670.0,32630,60270,155400.0,6050,36120.0,66110,91300.0,123985.0,28600.0,41440,84690,75920
M17 [Vaccines],17.12,Rotavirus,2. Stocks Received,2939460,31700,207250.0,101520,103410.0,50350.0,76750,68300.0,169900.0,86780,37900.0,72800.0,127300.0,74500.0,58300.0,27500,28200.0,69650,68250.0,154600.0,56650.0,92600,47100,136400.0,58550,117700.0,127800,95340.0,98200.0,59410.0,140300,222390,72060
M17 [Vaccines],17.12,Rotavirus,3. Unusable Stock,240492,0,0.0,0,30434.0,,12607,,0.0,25498,,0.0,0.0,8550.0,,8000,14708.0,24384,0.0,,60.0,0,0,46906.0,0,,0,35995.0,21693.0,,0,0,11657
M17 [Vaccines],17.12,Rotavirus,4. Stock Distributed,2697838,30870,207150.0,101520,63942.0,48090.0,58014,68585.0,171060.0,46582,40090.0,74490.0,146440.0,66740.0,65700.0,31370,17302.0,44674,69430.0,144000.0,65070.0,83470,47100,75414.0,52870,120600.0,127780,73665.0,76542.0,60660.0,140870,210865,66883
M17 [Vaccines],17.12,Rotavirus,5. Total Stock,1907808,47860,197080.0,0,93955.0,13950.0,53559,2220.0,22380.0,114128,24040.0,21250.0,106910.0,72850.0,29780.0,4460,27180.0,59056,37120.0,62820.0,30000.0,41760,62030,169570.0,11730,33220.0,66130,76980.0,123950.0,27350.0,40870,164180,69440
M17 [Vaccines],17.13,Inactivated Polio Vaccine,1. Balance From Previous Month,3413738,17000,133660.0,10,91892.0,41750.0,105890,17825.0,23450.0,91192,41390.0,55425.0,1168569.0,91980.0,63600.0,31415,47099.0,49487,70800.0,89025.0,108550.0,51975,77625,147340.0,6950,41475.0,65438,147138.0,218009.0,16442.0,100875,59700,140762
M17 [Vaccines],17.13,Inactivated Polio Vaccine,2. Stocks Received,2007613,30000,107550.0,50442,76969.0,46350.0,64708,71000.0,109450.0,70465,19460.0,69125.0,44000.0,51025.0,48250.0,20625,23325.0,48750,56075.0,111700.0,52675.0,52200,32500,77925.0,42025,81775.0,91812,80907.0,56375.0,43400.0,135025,89000,52725
M17 [Vaccines],17.13,Inactivated Polio Vaccine,3. Unusable Stock,160759,0,0.0,0,17866.0,,8550,,0.0,19987,,0.0,0.0,395.0,,14275,10022.0,15031,0.0,0.0,75.0,0,857,23703.0,0,,0,22976.0,16293.0,,0,0,10729
M17 [Vaccines],17.13,Inactivated Polio Vaccine,4. Stock Distributed,2074887,30400,109805.0,50447,50058.0,47475.0,47070,74100.0,117535.0,36186,27250.0,61475.0,243805.0,55305.0,51125.0,23125,12552.0,37112,47500.0,108500.0,50100.0,56525,32814,54092.0,38750,86450.0,85332,51916.0,55985.0,46026.0,143550,96875,45647
M17 [Vaccines],17.13,Inactivated Polio Vaccine,5. Total Stock,3199750,16600,131405.0,5,100937.0,40625.0,114978,14725.0,15365.0,105484,37810.0,63575.0,968764.0,87305.0,60725.0,26280,47310.0,46094,79375.0,92225.0,111050.0,47650,70963,147470.0,10225,36800.0,71918,153153.0,202106.0,17542.0,92350,51825,137111
M17 [Vaccines],17.14,Measles Rubella (MR),1. Balance From Previous Month,2369639,37920,178650.0,10070,48297.0,33370.0,58159,4050.0,46490.0,47306,12600.0,32020.0,101624.0,27880.0,63520.0,10660,35960.0,157643,104330.0,61460.0,69880.0,34150,77410,207060.0,12940,30770.0,66670,152660.0,233689.0,27230.0,181590,48530,155051
M17 [Vaccines],17.14,Measles Rubella (MR),2. Stocks Received,3064902,37500,198670.0,114680,99280.0,67800.0,67940,76700.0,156500.0,61930,32500.0,78200.0,135400.0,73450.0,64500.0,28510,30900.0,74870,88200.0,124400.0,68300.0,117800,45500,123300.0,66450,115000.0,134700,111302.0,92000.0,72800.0,155000,275920,74900
M17 [Vaccines],17.14,Measles Rubella (MR),3. Unusable Stock,318235,0,0.0,0,42496.0,,13933,,0.0,25130,1420.0,0.0,0.0,0.0,,10750,20715.0,36693,0.0,0.0,0.0,0,1428,60740.0,0,,0,46209.0,44313.0,,0,0,14408
M17 [Vaccines],17.14,Measles Rubella (MR),4. Stock Distributed,2636714,38230,194610.0,114680,51682.0,72300.0,42452,77130.0,176830.0,33620,32130.0,78720.0,127552.0,75590.0,73980.0,33510,12805.0,38356,82150.0,129970.0,78770.0,118230,40940,59100.0,63610,116200.0,135890,67300.0,50861.0,72130.0,160320,129550,57516
M17 [Vaccines],17.14,Measles Rubella (MR),5. Total Stock,2359455,38630,182710.0,10070,53394.0,28920.0,69714,3620.0,26160.0,50486,11550.0,31510.0,109472.0,25740.0,54040.0,5660,33340.0,158094,110380.0,56160.0,59410.0,33720,91260,210520.0,15780,29570.0,65480,150453.0,230515.0,27900.0,176270,50900,158027
M18 [Family Planning],18.1,IUD 380 A,1. Balance From Previous Month,984896,17194,155227.0,64500,75952.0,31012.0,18755,21389.0,55300.0,4352,14953.0,4908.0,26429.0,27377.0,,4482,49184.0,49422,13048.0,36630.0,13793.0,5228,7128,5223.0,15329,79105.0,24441,12302.0,10370.0,13652.0,43700,61257,23254
M18 [Family Planning],18.1,IUD 380 A,2. Stocks Received,166381,2400,26280.0,5800,5600.0,3740.0,5567,4700.0,9100.0,4724,2400.0,3360.0,4000.0,2860.0,,1800,4100.0,4100,5300.0,6716.0,5098.0,5300,3000,1200.0,5300,5500.0,5900,3000.0,5400.0,3400.0,8446,6990,5300
M18 [Family Planning],18.1,IUD 380 A,3. Unusable Stock,320,0,0.0,0,0.0,,95,,0.0,199,0.0,0.0,0.0,0.0,,0,0.0,0,,0.0,26.0,0,0,0.0,0,,0,0.0,0.0,0.0,0,0,0
M18 [Family Planning],18.1,IUD 380 A,4. Stock Distributed,188411,3303,44053.0,6618,9166.0,3015.0,5833,2613.0,9576.0,3525,2802.0,3840.0,4565.0,3406.0,,675,3231.0,3269,2494.0,5188.0,3771.0,5144,127,1303.0,3780,6120.0,6226,3260.0,3754.0,2147.0,11794,17777,6036
M18 [Family Planning],18.1,IUD 380 A,5. Total Stock,962546,16291,137454.0,63682,72386.0,31737.0,18394,23476.0,54824.0,5352,14551.0,4428.0,25864.0,26831.0,0.0,5607,50053.0,50253,15854.0,38158.0,15094.0,5384,10001,5120.0,16849,78485.0,24115,12042.0,12016.0,14905.0,40352,50470,22518
M18 [Family Planning],18.2,IUD 375 A,1. Balance From Previous Month,854905,24008,0.0,14627,1837.0,37360.0,47531,31713.0,10380.0,16827,19646.0,35595.0,82595.0,12549.0,88822.0,25683,2900.0,22789,21464.0,34082.0,26544.0,17673,30899,12651.0,20260,41163.0,30966,28273.0,72661.0,21619.0,13532,0,8256
M18 [Family Planning],18.2,IUD 375 A,2. Stocks Received,61685,600,0.0,2400,600.0,1726.0,1500,1680.0,1800.0,7359,1200.0,4740.0,4800.0,1800.0,4100.0,600,1200.0,1800,1200.0,2200.0,1200.0,1800,1800,0.0,200,1800.0,3300,2400.0,1600.0,4110.0,1570,0,600
M18 [Family Planning],18.2,IUD 375 A,3. Unusable Stock,862,0,0.0,0,0.0,,0,10.0,0.0,671,0.0,0.0,0.0,0.0,,0,0.0,0,,0.0,105.0,0,0,0.0,0,,0,76.0,0.0,0.0,0,0,0
M18 [Family Planning],18.2,IUD 375 A,4. Stock Distributed,102532,752,0.0,3232,383.0,2976.0,3545,4466.0,2786.0,7852,941.0,6423.0,5078.0,3704.0,3312.0,1519,650.0,2340,5173.0,1867.0,3302.0,7671,4248,622.0,3751,3060.0,3832,3830.0,1974.0,5825.0,4957,0,2461
M18 [Family Planning],18.2,IUD 375 A,5. Total Stock,813196,23856,0.0,13795,2054.0,36110.0,45486,28917.0,9394.0,15663,19905.0,33912.0,82317.0,10645.0,89610.0,24764,3450.0,22249,17491.0,34415.0,24337.0,11802,28451,12029.0,16709,39903.0,30434,26767.0,72287.0,19904.0,10145,0,6395
M18 [Family Planning],18.3,Condoms,1. Balance From Previous Month,120282728,802437,8679174.0,5261546,6121200.0,4558490.0,5914171,4042763.0,8323343.0,1092900,2326449.0,1529665.0,6210017.0,1598790.0,2402215.0,1617130,1840799.0,3296643,3313454.0,5243120.0,3025345.0,4365850,2970550,552595.0,3628915,1273757.0,5374892,2154682.0,3773689.0,3711466.0,4401720,7003416,3871545
M18 [Family Planning],18.3,Condoms,2. Stocks Received,2986354,54000,303400.0,118550,99900.0,84260.0,148654,73500.0,94500.0,0,60750.0,140200.0,104230.0,46950.0,72900.0,56700,54000.0,118800,82350.0,117270.0,78300.0,90450,70200,44550.0,70200,99900.0,95850,56700.0,91800.0,91230.0,112350,167510,86400
M18 [Family Planning],18.3,Condoms,3. Unusable Stock,122986,0,0.0,0,0.0,,0,0.0,0.0,82136,,0.0,0.0,0.0,,0,0.0,0,,0.0,0.0,0,0,0.0,0,,0,0.0,0.0,0.0,0,40850,0
M18 [Family Planning],18.3,Condoms,4. Stock Distributed,6225227,41015,690450.0,287599,432784.0,80985.0,249415,129284.0,281895.0,248555,87679.0,182485.0,115791.0,79915.0,164520.0,72870,20664.0,208142,210787.0,314599.0,157946.0,106690,137240,43525.0,189767,154374.0,77471,147571.0,149840.0,24692.0,443750,519952,172975
M18 [Family Planning],18.3,Condoms,5. Total Stock,116920869,815422,8292124.0,5092497,5788316.0,4561765.0,5813410,3986979.0,8135948.0,762209,2299520.0,1487380.0,6198456.0,1565825.0,2310595.0,1600960,1874135.0,3207301,3185017.0,5045791.0,2945699.0,4349610,2903510,553620.0,3509348,1219283.0,5393271,2063811.0,3715649.0,3778004.0,4070320,6610124,3784970
M18 [Family Planning],18.4,Oral Contraceptive,1. Balance From Previous Month,7715481,134741,460707.0,267107,132137.0,548465.0,225278,255380.0,272359.0,166873,273350.0,220716.0,371541.0,174912.0,268491.0,92140,152403.0,248106,186122.0,346982.0,127882.0,168336,315988,164968.0,220197,77159.0,308594,181423.0,339322.0,268535.0,288396,197834,259037
M18 [Family Planning],18.4,Oral Contraceptive,2. Stocks Received,249573,4000,12000.0,11800,7200.0,3000.0,8573,8400.0,14600.0,10000,6000.0,11000.0,5000.0,6800.0,6200.0,3000,5200.0,8000,9000.0,12400.0,7200.0,6200,3000,0.0,7200,9000.0,7600,6200.0,9000.0,12000.0,15200,14800,0
M18 [Family Planning],18.4,Oral Contraceptive,3. Unusable Stock,7802,0,0.0,0,0.0,,0,,0.0,7802,,0.0,0.0,0.0,,0,0.0,0,,0.0,0.0,0,0,0.0,0,,0,0.0,0.0,0.0,0,0,0
M18 [Family Planning],18.4,Oral Contraceptive,4. Stock Distributed,391340,1992,33734.0,18371,14931.0,4908.0,12573,12356.0,18927.0,24805,10205.0,8475.0,7547.0,12011.0,7007.0,6010,5254.0,5998,11451.0,17018.0,13564.0,9345,5902,3939.0,12213,10799.0,6760,13688.0,12393.0,9852.0,21004,23507,14801
M18 [Family Planning],18.4,Oral Contraceptive,5. Total Stock,7565912,136749,438973.0,260536,124406.0,546557.0,221278,251424.0,268032.0,144266,269145.0,223241.0,368994.0,169701.0,267684.0,89130,152349.0,250108,183671.0,342364.0,121518.0,165191,313086,161029.0,215184,75360.0,309434,173935.0,335929.0,270683.0,282592,189127,244236
M18 [Family Planning],18.5,Emergency Contraceptive Pills,1. Balance From Previous Month,1350517,20660,95145.0,25966,20585.0,69013.0,17302,47007.0,47744.0,21946,44872.0,35349.0,76114.0,27268.0,39449.0,4954,52327.0,60636,61050.0,84540.0,35383.0,65740,59692,18604.0,14743,10234.0,68622,19866.0,56936.0,67197.0,10727,15976,54870
M18 [Family Planning],18.5,Emergency Contraceptive Pills,2. Stocks Received,55134,300,6000.0,2300,2000.0,1530.0,1614,900.0,2500.0,5607,600.0,200.0,2000.0,1600.0,1200.0,300,600.0,2600,2615.0,2600.0,1000.0,1000,1000,0.0,300,500.0,2600,300.0,2800.0,2300.0,2600,3140,528
M18 [Family Planning],18.5,Emergency Contraceptive Pills,3. Unusable Stock,4000,0,0.0,0,0.0,,0,0.0,0.0,4000,,0.0,0.0,0.0,,0,0.0,0,,0.0,0.0,0,0,0.0,0,,0,0.0,0.0,0.0,0,0,0
M18 [Family Planning],18.5,Emergency Contraceptive Pills,4. Stock Distributed,23467,35,440.0,1060,1115.0,322.0,2261,1209.0,265.0,1005,156.0,578.0,1303.0,326.0,184.0,220,49.0,629,249.0,279.0,993.0,1012,1217,66.0,934,389.0,315,943.0,410.0,209.0,1978,447,2869
M18 [Family Planning],18.5,Emergency Contraceptive Pills,5. Total Stock,1378184,20925,100705.0,27206,21470.0,70221.0,16655,46698.0,49979.0,22548,45316.0,34971.0,76811.0,28542.0,40465.0,5034,52878.0,62607,63416.0,86861.0,35390.0,65728,59475,18538.0,14109,10345.0,70907,19223.0,59326.0,69288.0,11349,18669,52529
M18 [Family Planning],18.6,Centchroman weekly pills,1. Balance From Previous Month,1299455,30312,42728.0,37815,55263.0,41940.0,49423,42067.0,39521.0,33988,24354.0,37278.0,39801.0,13238.0,25704.0,26409,20016.0,40843,44589.0,33893.0,35208.0,44892,28954,9648.0,211912,32979.0,41450,46291.0,45839.0,36561.0,49948,17067,19524
M18 [Family Planning],18.6,Centchroman weekly pills,2. Stocks Received,60730,1800,0.0,600,2400.0,,857,1390.0,600.0,620,600.0,300.0,600.0,0.0,3000.0,0,3000.0,600,600.0,1800.0,600.0,600,0,0.0,14400,0.0,1190,1200.0,1200.0,2669.0,3000,2350,14754
M18 [Family Planning],18.6,Centchroman weekly pills,3. Unusable Stock,12,0,0.0,0,0.0,,0,,0.0,12,,0.0,0.0,0.0,,0,0.0,0,,0.0,0.0,0,0,0.0,0,,0,0.0,0.0,0.0,0,0,0
M18 [Family Planning],18.6,Centchroman weekly pills,4. Stock Distributed,64020,446,4175.0,1873,2016.0,424.0,738,2963.0,1961.0,852,1613.0,1338.0,2649.0,890.0,3357.0,838,4384.0,752,1405.0,4795.0,2259.0,1837,1020,306.0,230,2442.0,1805,703.0,2483.0,3933.0,4747,3929,857
M18 [Family Planning],18.6,Centchroman weekly pills,5. Total Stock,1288701,31666,38553.0,33019,55647.0,42004.0,49542,40504.0,38160.0,33744,23341.0,36057.0,37752.0,12348.0,25347.0,25571,18632.0,40691,44632.0,30898.0,33549.0,43655,27934,9262.0,226082,30537.0,40835,46788.0,44434.0,35297.0,48201,15488,28531
M18 [Family Planning],18.7,Injectable Contraceptive MPA (Vials),1. Balance From Previous Month,617862,13189,106021.0,14323,18095.0,9205.0,16948,15297.0,27319.0,8361,15422.0,9696.0,30094.0,11755.0,12138.0,9896,11540.0,16646,14993.0,21342.0,9916.0,40739,14624,837.0,13944,20592.0,22568,15408.0,14508.0,1777.0,38553,19316,22800
M18 [Family Planning],18.7,Injectable Contraceptive MPA (Vials),2. Stocks Received,86109,2160,8900.0,2400,2400.0,1200.0,3057,720.0,3840.0,1610,2160.0,1304.0,4080.0,2160.0,2160.0,720,2160.0,2400,1920.0,3600.0,1200.0,4800,1920,0.0,2160,3600.0,3440,2275.0,2400.0,2403.0,6000,3360,3600
M18 [Family Planning],18.7,Injectable Contraceptive MPA (Vials),3. Unusable Stock,20,0,0.0,0,0.0,,0,,0.0,20,,0.0,0.0,0.0,,0,0.0,0,,0.0,0.0,0,0,0.0,0,,0,0.0,0.0,0.0,0,0,0
M18 [Family Planning],18.7,Injectable Contraceptive MPA (Vials),4. Stock Distributed,31356,421,3017.0,1765,644.0,959.0,1159,1194.0,771.0,365,450.0,620.0,1217.0,1067.0,519.0,451,754.0,574,488.0,1445.0,884.0,1315,459,221.0,586,1356.0,798,595.0,1692.0,237.0,2681,1476,1176
M18 [Family Planning],18.7,Injectable Contraceptive MPA (Vials),5. Total Stock,675874,14928,111904.0,13530,19851.0,10636.0,18846,16743.0,30388.0,9586,17132.0,10380.0,32957.0,12848.0,13779.0,10885,12946.0,18472,16411.0,23497.0,10232.0,44224,16085,616.0,15518,22836.0,25210,16915.0,16280.0,3943.0,41872,21200,25224
M18 [Family Planning],18.8,Tubal rings,1. Balance From Previous Month,412871,6289,32361.0,8132,11993.0,6566.0,32299,11741.0,14355.0,2759,10942.0,1994.0,3036.0,378.0,27322.0,4524,11675.0,1745,4804.0,3818.0,4139.0,10004,1114,2848.0,1254,58581.0,29046,960.0,3808.0,8632.0,1264,92344,2144
M18 [Family Planning],18.8,Tubal rings,2. Stocks Received,67418,1965,4000.0,2100,1600.0,8000.0,6000,700.0,2800.0,858,670.0,900.0,300.0,200.0,14600.0,400,0.0,125,1400.0,500.0,800.0,2155,300,700.0,0,5970.0,3200,100.0,300.0,600.0,585,5000,590
M18 [Family Planning],18.8,Tubal rings,3. Unusable Stock,2632,0,0.0,0,0.0,,857,,0.0,1462,,0.0,0.0,0.0,,0,0.0,0,,0.0,0.0,0,0,0.0,0,,0,13.0,0.0,0.0,0,0,300
M18 [Family Planning],18.8,Tubal rings,4. Stock Distributed,53968,925,5610.0,1010,1547.0,12777.0,2629,1015.0,2867.0,591,1506.0,1086.0,68.0,120.0,9234.0,266,183.0,181,955.0,466.0,309.0,936,408,390.0,210,2093.0,2170,249.0,343.0,748.0,73,2727,276
M18 [Family Planning],18.8,Tubal rings,5. Total Stock,428455,7329,30751.0,9780,12046.0,6181.0,34813,10817.0,14288.0,1564,10106.0,1808.0,3268.0,458.0,32688.0,4658,11492.0,1689,5249.0,3852.0,4630.0,11223,1006,3158.0,979,62458.0,30576,798.0,3755.0,8484.0,1776,94617,2158
M18 [Family Planning],18.9,Pregnancy testing Kits (Nischay Kits),1. Balance From Previous Month,2857573,7647,601493.0,66854,72811.0,39900.0,131108,33875.0,320475.0,32250,21901.0,19971.0,298727.0,33271.0,339.0,19100,9275.0,43818,29185.0,142559.0,183397.0,81214,103629,9600.0,28124,165991.0,28400,21840.0,73902.0,142200.0,16302,28570,49845
M18 [Family Planning],18.9,Pregnancy testing Kits (Nischay Kits),2. Stocks Received,464263,1950,28950.0,28000,28000.0,7750.0,4547,19850.0,26000.0,7120,11000.0,10200.0,3000.0,18000.0,400.0,9000,2275.0,18000,15950.0,28000.0,12000.0,24000,12000,8650.0,13000,5000.0,27140,9950.0,28000.0,19000.0,8471,8000,21060
M18 [Family Planning],18.9,Pregnancy testing Kits (Nischay Kits),3. Unusable Stock,1407,0,0.0,0,0.0,,0,,0.0,1277,,0.0,0.0,0.0,,0,0.0,0,,,0.0,0,0,0.0,0,,0,8.0,,0.0,122,0,0
M18 [Family Planning],18.9,Pregnancy testing Kits (Nischay Kits),4. Stock Distributed,389566,2022,38671.0,10611,13150.0,14250.0,15917,10825.0,27918.0,10780,7842.0,10812.0,9355.0,5957.0,400.0,3390,600.0,12231,9845.0,18850.0,17762.0,15479,14788,2650.0,5293,24251.0,13220,8114.0,20888.0,12014.0,13570,7131,10980
M18 [Family Planning],18.9,Pregnancy testing Kits (Nischay Kits),5. Total Stock,2912038,7575,591772.0,58639,87361.0,33800.0,119738,42900.0,318557.0,27313,25059.0,19359.0,292372.0,45314.0,339.0,24710,10950.0,49587,35165.0,151709.0,177635.0,89735,100841,15600.0,36335,146740.0,42320,23668.0,81014.0,149186.0,17381,29439,59925
M19 [Other Items],19.1,Gloves,1. Balance From Previous Month,10684448,146780,135840.0,0,93845.0,39400.0,31618,1004550.0,,164314,,0.0,55903.0,0.0,101000.0,0,77914.0,474731,145458.0,183195.0,0.0,2228550,166655,378500.0,717,195600.0,2216075,116375.0,1132549.0,,379548,0,1215331
M19 [Other Items],19.1,Gloves,2. Stocks Received,4552985,78840,9200.0,100,36300.0,99250.0,2510,180000.0,176525.0,55126,,282233.0,23300.0,0.0,147000.0,0,41350.0,427109,98825.0,503188.0,276.0,1060150,9710,13000.0,3717,92300.0,754450,18409.0,101235.0,,93942,33000,211940
M19 [Other Items],19.1,Gloves,3. Unusable Stock,11216,0,0.0,0,0.0,,0,,,546,,0.0,300.0,0.0,,0,462.0,0,0.0,0.0,,0,0,0.0,0,,0,0.0,4600.0,,0,0,5308
M19 [Other Items],19.1,Gloves,4. Stock Distributed,4151839,72449,14730.0,100,64556.0,90190.0,3445,172650.0,176525.0,87441,,282233.0,23745.0,0.0,138000.0,0,43140.0,417847,90935.0,467688.0,276.0,601110,19239,5000.0,3000,76300.0,649775,18977.0,94300.0,,85509,33000,419679
M19 [Other Items],19.1,Gloves,5. Total Stock,11074378,153171,130310.0,0,65589.0,48460.0,30683,1011900.0,0.0,131453,0.0,0.0,55158.0,0.0,110000.0,0,75662.0,483993,153348.0,218695.0,0.0,2687590,157126,386500.0,1434,211600.0,2320750,115807.0,1134884.0,0.0,387981,0,1002284
M19 [Other Items],19.2,MVA Syringes,1. Balance From Previous Month,136916,32,0.0,0,46.0,920.0,225,1940.0,,440,0.0,0.0,12.0,0.0,39.0,0,0.0,970,,0.0,,100,76900,,0,177.0,158,218.0,9840.0,,44899,0,0
M19 [Other Items],19.2,MVA Syringes,2. Stocks Received,887698,2,0.0,0,0.0,610.0,26,100.0,,214,6.0,850818.0,2.0,0.0,33.0,0,0.0,1808,,0.0,,0,23600,,0,140.0,35,700.0,9604.0,,0,0,0
M19 [Other Items],19.2,MVA Syringes,3. Unusable Stock,53,0,0.0,0,0.0,,0,,,0,,0.0,0.0,0.0,,0,0.0,0,,0.0,,0,0,,0,,0,53.0,0.0,,0,0,0
M19 [Other Items],19.2,MVA Syringes,4. Stock Distributed,883189,0,0.0,0,9.0,450.0,68,180.0,,238,6.0,850818.0,2.0,0.0,72.0,0,0.0,1308,,0.0,,0,17200,,0,119.0,6,648.0,8364.0,,3701,0,0
M19 [Other Items],19.2,MVA Syringes,5. Total Stock,141372,34,0.0,0,37.0,1080.0,183,1860.0,0.0,416,0.0,0.0,12.0,0.0,0.0,0,0.0,1470,0.0,0.0,0.0,100,83300,0.0,0,198.0,187,217.0,11080.0,0.0,41198,0,0
M19 [Other Items],19.3,Tab. Fluconazole,1. Balance From Previous Month,3718833,19537,0.0,0,13694.0,13750.0,4687,52500.0,,75600,,0.0,5460.0,0.0,,0,8150.0,130784,7980.0,70387.0,,59800,12444,7890.0,0,21400.0,3065500,52192.0,,,79875,0,17203
