Indicator,S.No.,Parameters,Type,District,Value
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,Ariyalur,10337.0
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,Ariyalur,9501.0
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,Ariyalur,7563.0
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,Ariyalur,7275.0
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,Ariyalur,2768.0
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,Ariyalur,8513.0
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,Ariyalur,95.0
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,Ariyalur,880.0
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,Ariyalur,8900.0
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,Ariyalur,35.0
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,Ariyalur,367.0
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,Ariyalur,310.0
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,Ariyalur,118.0
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,Ariyalur,29010.0
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,Ariyalur,22140.0
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,Ariyalur,1725.0
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,Ariyalur,353.0
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,Ariyalur,14895.0
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,Ariyalur,180.0
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,Ariyalur,112.0
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,Ariyalur,0.0
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,Ariyalur,0.0
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,Ariyalur,1740.0
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,Ariyalur,1.0
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,Ariyalur,1.0
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,Ariyalur,0.0
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,Ariyalur,0.0
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,Ariyalur,0.0
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,Ariyalur,0.0
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,Ariyalur,0.0
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,Ariyalur,0.0
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,Ariyalur,9266.0
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,Ariyalur,5.0
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,Ariyalur,0.0
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,Ariyalur,4283.0
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,Ariyalur,736.0
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,Ariyalur,4817.0
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,Ariyalur,4447.0
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,Ariyalur,155.0
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,Ariyalur,34.0
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,Ariyalur,445.0
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,Ariyalur,346.0
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,Ariyalur,27.0
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,Ariyalur,14.0
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,Ariyalur,13.0
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,Ariyalur,157.0
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,Ariyalur,9264.0
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,Ariyalur,1096.0
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,Ariyalur,7396.0
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,Ariyalur,4762.0
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,Ariyalur,596.0
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,Ariyalur,0.0
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,Ariyalur,0.0
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,Ariyalur,4877.0
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,Ariyalur,4877.0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,Ariyalur,3152.0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,Ariyalur,4686.0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,Ariyalur,3062.0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,Ariyalur,4369.0
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,Ariyalur,28.0
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,Ariyalur,922.0
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,Ariyalur,47.0
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,Ariyalur,1533.0
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,Ariyalur,106.0
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,Ariyalur,1632.0
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,Ariyalur,2663.0
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,Ariyalur,40.0
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,Ariyalur,439.0
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,Ariyalur,0.0
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,Ariyalur,305.0
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,Ariyalur,67.0
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,Ariyalur,21.0
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,Ariyalur,3.0
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,Ariyalur,1688.0
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,Ariyalur,39642.0
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,Ariyalur,428.0
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,Ariyalur,64.0
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,Ariyalur,751.0
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,Ariyalur,0.0
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,Ariyalur,0.0
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,Ariyalur,0.0
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,Ariyalur,0.0
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,Ariyalur,0.0
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,Ariyalur,0.0
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,Ariyalur,9264.0
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,Ariyalur,9261.0
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,Ariyalur,0.0
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,Ariyalur,0.0
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,Ariyalur,0.0
M9 [CHILD IMMUNISATION],9.1.6,Child immunisation - Pentavalent 1,TOTAL,Ariyalur,9406.0
M9 [CHILD IMMUNISATION],9.1.7,Child immunisation - Pentavalent 2,TOTAL,Ariyalur,9310.0
M9 [CHILD IMMUNISATION],9.1.8,Child immunisation - Pentavalent 3,TOTAL,Ariyalur,9247.0
M9 [CHILD IMMUNISATION],9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,Ariyalur,9261.0
M9 [CHILD IMMUNISATION],9.1.10,Child immunisation - OPV1,TOTAL,Ariyalur,9408.0
M9 [CHILD IMMUNISATION],9.1.11,Child immunisation - OPV2,TOTAL,Ariyalur,9321.0
M9 [CHILD IMMUNISATION],9.1.12,Child immunisation - OPV3,TOTAL,Ariyalur,9350.0
M9 [CHILD IMMUNISATION],9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,Ariyalur,9278.0
M9 [CHILD IMMUNISATION],9.1.14,Child immunisation - Hepatitis-B1,TOTAL,Ariyalur,0.0
M9 [CHILD IMMUNISATION],9.1.15,Child immunisation - Hepatitis-B2,TOTAL,Ariyalur,0.0
M9 [CHILD IMMUNISATION],9.1.16,Child immunisation - Hepatitis-B3,TOTAL,Ariyalur,0.0
M9 [CHILD IMMUNISATION],9.1.17,Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,Ariyalur,9256.0
M9 [CHILD IMMUNISATION],9.1.18,Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,Ariyalur,9143.0
M9 [CHILD IMMUNISATION],9.1.19,Child immunisation - Rotavirus 1,TOTAL,Ariyalur,8487.0
M9 [CHILD IMMUNISATION],9.1.20,Child immunisation - Rotavirus 2,TOTAL,Ariyalur,8310.0
M9 [CHILD IMMUNISATION],9.1.21,Child immunisation - Rotavirus 3,TOTAL,Ariyalur,8244.0
M9 [CHILD IMMUNISATION],9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,Ariyalur,9364.0
M9 [CHILD IMMUNISATION],9.2.2,Child immunisation (9-11months) - Measles 1st dose,TOTAL,Ariyalur,0.0
M9 [CHILD IMMUNISATION],9.2.3,Child immunisation (9-11months) - JE 1st dose,TOTAL,Ariyalur,9463.0
M9 [CHILD IMMUNISATION],9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,TOTAL,Ariyalur,4931.0
M9 [CHILD IMMUNISATION],9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,TOTAL,Ariyalur,4558.0
M9 [CHILD IMMUNISATION],9.3.1,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,Ariyalur,1202.0
M9 [CHILD IMMUNISATION],9.3.2,Child immunisation - Measles-1st dose,TOTAL,Ariyalur,656.0
M9 [CHILD IMMUNISATION],9.3.3,Child immunisation - JE 1st dose,TOTAL,Ariyalur,933.0
M9 [CHILD IMMUNISATION],9.4.1,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,Ariyalur,6332.0
M9 [CHILD IMMUNISATION],9.4.2,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,Ariyalur,0.0
M9 [CHILD IMMUNISATION],9.4.3,Child immunisation - DPT 1st Booster,TOTAL,Ariyalur,9206.0
M9 [CHILD IMMUNISATION],9.4.4,Child immunisation - OPV Booster,TOTAL,Ariyalur,9222.0
M9 [CHILD IMMUNISATION],9.4.5,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,Ariyalur,242.0
M9 [CHILD IMMUNISATION],9.4.6,Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,TOTAL,Ariyalur,9110.0
M9 [CHILD IMMUNISATION],9.5.1,Child immunisation - Typhoid,TOTAL,Ariyalur,12.0
M9 [CHILD IMMUNISATION],9.5.2,Children more than 5 years received DPT5 (2nd Booster),TOTAL,Ariyalur,11670.0
M9 [CHILD IMMUNISATION],9.5.3,Children more than 10 years received TT10,TOTAL,Ariyalur,12649.0
M9 [CHILD IMMUNISATION],9.5.4,Children more than 16 years received TT16,TOTAL,Ariyalur,10174.0
M9 [CHILD IMMUNISATION],9.6.1,Number of cases of AEFI - Abscess,TOTAL,Ariyalur,0.0
M9 [CHILD IMMUNISATION],9.6.2,Number of cases of AEFI - Death,TOTAL,Ariyalur,0.0
M9 [CHILD IMMUNISATION],9.6.3,Number of cases of AEFI - Others,TOTAL,Ariyalur,0.0
M9 [CHILD IMMUNISATION],9.7.1,Immunisation sessions planned,TOTAL,Ariyalur,5808.0
M9 [CHILD IMMUNISATION],9.7.2,Immunisation sessions held,TOTAL,Ariyalur,5816.0
M9 [CHILD IMMUNISATION],9.7.3,Number of Immunisation sessions where ASHAs were present,TOTAL,Ariyalur,245.0
M9 [CHILD IMMUNISATION],9.8.1,Child immunisation - Vitamin A Dose - 1,TOTAL,Ariyalur,5553.0
M9 [CHILD IMMUNISATION],9.8.2,Child immunisation - Vitamin A Dose - 5,TOTAL,Ariyalur,6185.0
M9 [CHILD IMMUNISATION],9.8.3,Child immunisation - Vitamin A Dose - 9,TOTAL,Ariyalur,5688.0
M9 [CHILD IMMUNISATION],9.9,Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly),TOTAL,Ariyalur,69033.0
M9 [CHILD IMMUNISATION],9.1,Number of children (12-59 months) provided Albendazole,TOTAL,Ariyalur,1140.0
M9 [CHILD IMMUNISATION],9.11,Number of severely underweight children provided Health Checkup (0-5 yrs),TOTAL,Ariyalur,2.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Pneumonia,TOTAL,Ariyalur,0.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.2,Childhood Diseases - Asthma,TOTAL,Ariyalur,0.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.3,Childhood Diseases - Sepsis,TOTAL,Ariyalur,0.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.4,Childhood Diseases - Diphtheria,TOTAL,Ariyalur,0.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.5,Childhood Diseases - Pertussis,TOTAL,Ariyalur,0.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.6,Childhood Diseases - Tetanus Neonatorum,TOTAL,Ariyalur,0.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.7,Childhood Diseases - Tuberculosis (TB),TOTAL,Ariyalur,0.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.8,Childhood Diseases - Acute Flaccid Paralysis(AFP),TOTAL,Ariyalur,0.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.9,Childhood Diseases - Measles,TOTAL,Ariyalur,7.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Malaria,TOTAL,Ariyalur,42.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.11,Childhood Diseases - Diarrhoea,TOTAL,Ariyalur,8423.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.12,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,Ariyalur,15.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.13,Children admitted with upper respiratory infections,TOTAL,Ariyalur,14311.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.14,Childhood Diseases - Severe Acute Malnutrition (SAM),TOTAL,Ariyalur,0.0
M11 [NVBDCP],11.1.1.a,Total Blood Smears Examined for Malaria,TOTAL,Ariyalur,78604.0
M11 [NVBDCP],11.1.1.b,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,TOTAL,Ariyalur,0.0
M11 [NVBDCP],11.1.1.c,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,TOTAL,Ariyalur,0.0
M11 [NVBDCP],11.1.2.a,RDT conducted for Malaria,TOTAL,Ariyalur,0.0
M11 [NVBDCP],11.1.2.b,Malaria (RDT) - Plasmodium Vivax test positive,TOTAL,Ariyalur,0.0
M11 [NVBDCP],11.1.2.c,Malaria (RDT) - Plamodium Falciparum test positive,TOTAL,Ariyalur,0.0
M11 [NVBDCP],11.2.1,Kala Azar (RDT) - Tests Conducted,TOTAL,Ariyalur,0.0
M11 [NVBDCP],11.2.2,Kala Azar Positive Cases,TOTAL,Ariyalur,0.0
M11 [NVBDCP],11.2.3,Post-kala-azar dermal leishmaniasis (PKDL) cases,TOTAL,Ariyalur,0.0
M11 [NVBDCP],11.3.1,Dengue - RDT Test Positive,TOTAL,Ariyalur,0.0
M11 [NVBDCP],11.3.2,Dengue - Enzyme- Linked Immuno Sorbent Assay (ELISA) Test Positive,TOTAL,Ariyalur,0.0
M11 [NVBDCP],11.4.1,Tests Conducted for JE,TOTAL,Ariyalur,0.0
M11 [NVBDCP],11.4.2,Tests Positive for JE,TOTAL,Ariyalur,0.0
M12 [Adolscent Health],12.1.1.a,Girls registered in AFHC,TOTAL,Ariyalur,2168.0
M12 [Adolscent Health],12.1.1.b,Boys registered in AFHC,TOTAL,Ariyalur,1828.0
M12 [Adolscent Health],12.1.2.a,"Out of registered, Girls received clinical services",TOTAL,Ariyalur,2088.0
M12 [Adolscent Health],12.1.2.b,"Out of registered, Boys received clinical services",TOTAL,Ariyalur,1751.0
M12 [Adolscent Health],12.1.3.a,"Out of registered, Girls received counselling",TOTAL,Ariyalur,2004.0
M12 [Adolscent Health],12.1.3.b,"Out of registered, Boys received counselling",TOTAL,Ariyalur,1716.0
"M13 [Directly Observed Treatment, Short-course (DOTS)]",13.1,Number of on-going DOTS patients registered,TOTAL,Ariyalur,241.0
"M13 [Directly Observed Treatment, Short-course (DOTS)]",13.2,Number of DOTS cases completed successfully,TOTAL,Ariyalur,75.0
M14 [Patient Services],14.1.1,Outpatient - Diabetes,TOTAL,Ariyalur,91546.0
M14 [Patient Services],14.1.2,Outpatient - Hypertension,TOTAL,Ariyalur,131787.0
M14 [Patient Services],14.1.3,Outpatient - Stroke (Paralysis),TOTAL,Ariyalur,665.0
M14 [Patient Services],14.1.4,Outpatient - Acute Heart Diseases,TOTAL,Ariyalur,1025.0
M14 [Patient Services],14.1.5,Outpatient - Mental illness,TOTAL,Ariyalur,6849.0
M14 [Patient Services],14.1.6,Outpatient - Epilepsy,TOTAL,Ariyalur,4144.0
M14 [Patient Services],14.1.7,Outpatient - Ophthalmic Related,TOTAL,Ariyalur,12494.0
M14 [Patient Services],14.1.8,Outpatient - Dental,TOTAL,Ariyalur,51013.0
M14 [Patient Services],14.1.9,Outpatient - Oncology,TOTAL,Ariyalur,37.0
M14 [Patient Services],14.2.1,Allopathic- Outpatient attendance,TOTAL,Ariyalur,3797155.0
M14 [Patient Services],14.2.2,Ayush - Outpatient attendance,TOTAL,Ariyalur,291699.0
M14 [Patient Services],14.3.1.a,Inpatient (Male)- Children<18yrs,TOTAL,Ariyalur,11433.0
M14 [Patient Services],14.3.1.b,Inpatient (Male)- Adults,TOTAL,Ariyalur,41473.0
M14 [Patient Services],14.3.2.a,Inpatient (Female)- Children<18yrs,TOTAL,Ariyalur,9456.0
M14 [Patient Services],14.3.2.b,Inpatient (Female)- Adults,TOTAL,Ariyalur,53642.0
M14 [Patient Services],14.3.3,Number of Left Against Medical Advice (LAMA) cases,TOTAL,Ariyalur,214.0
M14 [Patient Services],14.4.1,Inpatient - Malaria,TOTAL,Ariyalur,1.0
M14 [Patient Services],14.4.2,Inpatient - Dengue,TOTAL,Ariyalur,54.0
M14 [Patient Services],14.4.3,Inpatient - Typhoid,TOTAL,Ariyalur,84.0
M14 [Patient Services],14.4.4,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,Ariyalur,543.0
M14 [Patient Services],14.4.5,Inpatient - Tuberculosis,TOTAL,Ariyalur,151.0
M14 [Patient Services],14.4.6,Inpatient - Pyrexia of unknown origin (PUO),TOTAL,Ariyalur,2021.0
M14 [Patient Services],14.4.7,Inpatient - Diarrhea with dehydration,TOTAL,Ariyalur,1687.0
M14 [Patient Services],14.4.8,Inpatient - Hepatitis,TOTAL,Ariyalur,8.0
M14 [Patient Services],14.5,Patients registered at Emergency Department,TOTAL,Ariyalur,77343.0
M14 [Patient Services],14.6.1,"Emergency - Trauma ( accident, injury, poisoning etc)",TOTAL,Ariyalur,17008.0
M14 [Patient Services],14.6.2,Emergency - Burn,TOTAL,Ariyalur,948.0
M14 [Patient Services],14.6.3,Emergency - Obstetrics complications,TOTAL,Ariyalur,3632.0
M14 [Patient Services],14.6.4,Emergency - Snake Bite,TOTAL,Ariyalur,225.0
M14 [Patient Services],14.6.5,Emergency - Acute Caridiac Emergencies,TOTAL,Ariyalur,125.0
M14 [Patient Services],14.6.7,Emergency - CVA ( Cerebovascular Disease),TOTAL,Ariyalur,58.0
M14 [Patient Services],14.7,Number of deaths occurring at Emergency Department,TOTAL,Ariyalur,32.0
M14 [Patient Services],14.8.1,Operation major (General and spinal anaesthesia),TOTAL,Ariyalur,5032.0
M14 [Patient Services],14.8.2,"Out of Operation major, Gynecology- Hysterectomy surgeries",TOTAL,Ariyalur,2127.0
M14 [Patient Services],14.8.3,"Major Surgeries excluding Obstetrics, Gynaecology and Opthalmology etc.",TOTAL,Ariyalur,1320.0
M14 [Patient Services],14.8.4,Operation minor (No or local anaesthesia),TOTAL,Ariyalur,21142.0
M14 [Patient Services],14.8.5,Number of post operative Surgical Site infection,TOTAL,Ariyalur,0.0
M14 [Patient Services],14.8.6,Number of blood units issued,TOTAL,Ariyalur,1967.0
M14 [Patient Services],14.8.7,Number of blood transfusions done,TOTAL,Ariyalur,1620.0
M14 [Patient Services],14.9.1,Inpatient Deaths - Male,TOTAL,Ariyalur,73.0
M14 [Patient Services],14.9.2,Inpatient Deaths - Female,TOTAL,Ariyalur,36.0
M14 [Patient Services],14.1,In-Patient Head Count at midnight,TOTAL,Ariyalur,142182.0
M14 [Patient Services],14.11,Number of Admission in NBSU ( New Born Stabilisation Unit),TOTAL,Ariyalur,568.0
M14 [Patient Services],14.12.1,Special Newborn Care Unit (SNCU Admissions) - Inborn Male,TOTAL,Ariyalur,463.0
M14 [Patient Services],14.12.2,Special Newborn Care Unit (SNCU Admissions) - Inborn Female,TOTAL,Ariyalur,368.0
M14 [Patient Services],14.12.3,Outborn  Male,TOTAL,Ariyalur,307.0
M14 [Patient Services],14.12.4,Outborn - Female,TOTAL,Ariyalur,190.0
M14 [Patient Services],14.12.5,Number of newborns admitted in SNCU - referred by ASHA,TOTAL,Ariyalur,73.0
M14 [Patient Services],14.13,Number of deaths occurring at SNCU,TOTAL,Ariyalur,17.0
M14 [Patient Services],14.14.1,Number of children admitted in NRC,TOTAL,Ariyalur,0.0
M14 [Patient Services],14.14.2,Number of children discharged with target weight gain from the NRCs,TOTAL,Ariyalur,0.0
M14 [Patient Services],14.15,Number of Rogi Kalyan Samiti (RKS) meetings held,TOTAL,Ariyalur,1011.0
M14 [Patient Services],14.16,Number of Anganwadi centres/ UPHCs reported to have conducted Village Health & Nutrition Day (VHNDs)/ Urban Health & Nutrition Day (UHNDs)/ Outreach / Special Outreach,TOTAL,Ariyalur,4238.0
M14 [Patient Services],14.17,Stock out rate of essential Drugs,TOTAL,Ariyalur,0.0
M14 [Patient Services],14.18,Blood Units Issued on replacement (Family Donors to be considered as replacement donations),TOTAL,Ariyalur,0.0
M14 [Patient Services],14.19,Total number of blood units issued in year,TOTAL,Ariyalur,1188.0
M14 [Patient Services],14.2,Patient Satisfaction Score of the facility in percentage (from Mera Aspatal),TOTAL,Ariyalur,0.0
M15 [Laboratory Testing],15.1,Number of Lab Tests done,TOTAL,Ariyalur,2013341.0
M15 [Laboratory Testing],15.2.1,Number of Hb tests conducted,TOTAL,Ariyalur,145288.0
M15 [Laboratory Testing],15.2.2,"Out of the total number of Hb tests done, Number having Hb < 7 mg",TOTAL,Ariyalur,14369.0
M15 [Laboratory Testing],15.3.1.a,Male HIV - Number Tested,TOTAL,Ariyalur,24001.0
M15 [Laboratory Testing],15.3.1.b,Male HIV - Number Positive,TOTAL,Ariyalur,55.0
M15 [Laboratory Testing],15.3.2.a,Female Non ANC HIV - Number Tested,TOTAL,Ariyalur,21910.0
M15 [Laboratory Testing],15.3.2.b,Female Non ANC HIV - Number Positive,TOTAL,Ariyalur,39.0
M15 [Laboratory Testing],15.3.3.a,Number of pregnant women screened for HIV,TOTAL,Ariyalur,9289.0
M15 [Laboratory Testing],15.3.3.b,"Out of the above, number screened positive",TOTAL,Ariyalur,42.0
M15 [Laboratory Testing],15.3.3.c,"Out of the above number screened positive, number confirmed with HIV infection at Integrated Counselling and Testing Centre (ICTC)",TOTAL,Ariyalur,26.0
M15 [Laboratory Testing],15.3.4.a,Number of Male STI/RTI attendees tested for syphilis,TOTAL,Ariyalur,9649.0
M15 [Laboratory Testing],15.3.4.b,Number of Male STI/RTI attendees found sero Positive for syphilis,TOTAL,Ariyalur,19.0
